business_id,review_id,sentence_id,sentence,stars,date,sentiment,sentiment_conf,topic_id,topic_keywords
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s1,"Nashville 'Hot' Catfish Benedict - 'Hot' fried Catfish, fried pickles, poached eggs, biscuit and white remoulade (16$).",4.0,2019-05-08 14:05:12,0,0.9439579844474792,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s2,I love Love LOve LOVe LOVE benedicts!,4.0,2019-05-08 14:05:12,1,0.9997522234916688,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s3,"& I am a fan of Nashville ""Hot"" Fried Chicken.",4.0,2019-05-08 14:05:12,1,0.997413694858551,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s5,RSC remoulade was tarty and creamy.,4.0,2019-05-08 14:05:12,0,0.982174515724182,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s6,Eggs were poached to perfection.,4.0,2019-05-08 14:05:12,1,0.9967772364616394,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s7,The fried pickles were OK.,4.0,2019-05-08 14:05:12,1,0.9994250535964966,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s8,"I was expecting a little more heat from the ""hot"" catfish, but nothing a little hot sauce can't solve.",4.0,2019-05-08 14:05:12,0,0.999530553817749,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s9,"Banana Pudding Stuffed French toast - Banana Pudding cheesecake stuffed French toast, vanilla Wafers and whipped cream (12$).",4.0,2019-05-08 14:05:12,0,0.9682472944259644,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s10,Banana Pudding cheesecake filling was delicious.,4.0,2019-05-08 14:05:12,1,0.9998335838317872,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s11,The French toast was way too much.,4.0,2019-05-08 14:05:12,0,0.999727189540863,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s12,Just half of the toast would be more than enough.,4.0,2019-05-08 14:05:12,0,0.987565577030182,0,"french, toast, eggs, french toast, breakfast"
D_sIoGDRaLJv0DAIc46MMA,tzXoZxf4E9_28h7yXKJ6tQ,tzXoZxf4E9_28h7yXKJ6tQ_s13,I also wish it was pan fried to a golden crisp on the outside.,4.0,2019-05-08 14:05:12,0,0.9338776469230652,0,"french, toast, eggs, french toast, breakfast"
